GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.model,NamedEntity,13,0,0,0,5,0,4,0,4,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.model,Person,6,11,0,0,2,5,2,3,2,3
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.model,BaseEntity,7,10,2,0,1,4,2,3,1,3
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration.services,UserDetailsImpl,64,24,6,0,17,9,11,4,8,4
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration.services,UserDetailsServiceImpl,18,3,0,0,3,1,2,1,2,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.util,CallMonitoringAspect,83,0,4,0,24,0,9,0,7,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.util,EntityUtils,32,0,6,0,6,0,5,0,2,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.util,RestPreconditions,13,4,1,1,3,2,2,1,1,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.developers,DevelopersController,33,0,2,0,12,0,4,0,3,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.auth.payload.request,LoginRequest,0,3,0,0,0,1,0,1,0,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.auth.payload.request,SignupRequest,0,3,0,0,0,1,0,1,0,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.exceptions,ErrorMessage,0,15,0,0,0,6,0,1,0,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.exceptions,AccessDeniedException,4,4,0,0,2,2,1,1,1,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.exceptions,ResourceNotFoundException,0,23,0,0,0,4,0,2,0,2
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.exceptions,ExceptionHandlerController,81,43,0,0,12,7,4,3,4,3
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.exceptions,ResourceNotOwnedException,13,0,0,0,2,0,1,0,1,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.user,AuthoritiesService,0,32,0,0,0,8,0,5,0,5
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.user,Authorities,0,3,0,0,0,1,0,1,0,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.user,UserService,9,107,0,2,3,20,1,13,1,12
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.user,User,37,3,4,0,6,1,4,1,2,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.user,UserRestController,0,116,0,4,0,20,0,9,0,7
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration,ExceptionHandlerConfiguration,19,0,0,0,5,0,2,0,2,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration,SecurityConfiguration,0,172,0,0,0,24,0,11,0,11
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration,OpenApiConfiguration,0,3,0,0,0,1,0,1,0,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration,WebConfig,8,0,0,0,3,0,2,0,2,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration,GenericIdToEntityConverter,51,34,10,0,10,7,7,3,2,3
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name,GameApplication,5,3,0,0,2,1,1,1,1,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name,GameInitializer,12,0,0,0,2,0,2,0,2,0
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.auth.payload.response,MessageResponse,0,6,0,0,0,3,0,1,0,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.auth.payload.response,JwtResponse,13,18,0,0,1,7,1,1,1,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.auth,AuthService,0,67,0,2,0,18,0,3,0,2
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.auth,AuthController,5,97,0,2,2,20,0,6,0,5
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration.jwt,AuthTokenFilter,70,3,8,0,17,1,6,1,2,1
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration.jwt,JwtUtils,142,7,0,0,27,2,5,2,5,2
DP1 Game Template,es.us.dp1.lx_xy_24_25.your_game_name.configuration.jwt,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
